Sr.No,Salt Name,Formula,Composition,Molecular Weight (g/mol),Valency (eq per mole),Equivalent Weight (g/eq),Molarity ,Normality,Volume (ml),Volume (L),Molar solution Weight  (g),Normal solution Weight (g)
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,25,0.025,0.146107,0.146107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,50,0.05,0.292214,0.292214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,100,0.1,0.584428,0.584428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,250,0.25,1.46107,1.46107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,500,0.5,2.92214,2.92214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.1,0.1,1000,1,5.84428,5.84428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,25,0.025,0.3652675,0.3652675
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,50,0.05,0.730535,0.730535
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,100,0.1,1.46107,1.46107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,250,0.25,3.652675,3.652675
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,500,0.5,7.30535,7.30535
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.25,0.25,1000,1,14.6107,14.6107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,25,0.025,0.730535,0.730535
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,50,0.05,1.46107,1.46107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,100,0.1,2.92214,2.92214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,250,0.25,7.30535,7.30535
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,500,0.5,14.6107,14.6107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,0.5,0.5,1000,1,29.2214,29.2214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,25,0.025,1.46107,1.46107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,50,0.05,2.92214,2.92214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,100,0.1,5.84428,5.84428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,250,0.25,14.6107,14.6107
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,500,0.5,29.2214,29.2214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,1,1,1000,1,58.4428,58.4428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,25,0.025,2.92214,2.92214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,50,0.05,5.84428,5.84428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,100,0.1,11.68856,11.68856
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,250,0.25,29.2214,29.2214
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,500,0.5,58.4428,58.4428
1,Sodium Chloride,NaCl,Na1; Cl1,58.4428,1,58.4428,2,2,1000,1,116.8856,116.8856
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,25,0.025,0.09999175,0.09999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,50,0.05,0.1999835,0.1999835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,100,0.1,0.399967,0.399967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,250,0.25,0.9999175,0.9999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,500,0.5,1.999835,1.999835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.1,0.1,1000,1,3.99967,3.99967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,25,0.025,0.249979375,0.249979375
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,50,0.05,0.49995875,0.49995875
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,100,0.1,0.9999175,0.9999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,250,0.25,2.49979375,2.49979375
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,500,0.5,4.9995875,4.9995875
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.25,0.25,1000,1,9.999175,9.999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,25,0.025,0.49995875,0.49995875
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,50,0.05,0.9999175,0.9999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,100,0.1,1.999835,1.999835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,250,0.25,4.9995875,4.9995875
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,500,0.5,9.999175,9.999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,0.5,0.5,1000,1,19.99835,19.99835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,25,0.025,0.9999175,0.9999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,50,0.05,1.999835,1.999835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,100,0.1,3.99967,3.99967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,250,0.25,9.999175,9.999175
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,500,0.5,19.99835,19.99835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,1,1,1000,1,39.9967,39.9967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,25,0.025,1.999835,1.999835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,50,0.05,3.99967,3.99967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,100,0.1,7.99934,7.99934
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,250,0.25,19.99835,19.99835
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,500,0.5,39.9967,39.9967
2,Sodium Hydroxide,NaOH,Na1; O1; H1,39.9967,1,39.9967,2,2,1000,1,79.9934,79.9934
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,25,0.025,0.264968,0.132484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,50,0.05,0.529936,0.264968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,100,0.1,1.059872,0.529936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,250,0.25,2.64968,1.32484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,500,0.5,5.29936,2.64968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.1,0.1,1000,1,10.59872,5.29936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,25,0.025,0.66242,0.33121
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,50,0.05,1.32484,0.66242
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,100,0.1,2.64968,1.32484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,250,0.25,6.6242,3.3121
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,500,0.5,13.2484,6.6242
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.25,0.25,1000,1,26.4968,13.2484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,25,0.025,1.32484,0.66242
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,50,0.05,2.64968,1.32484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,100,0.1,5.29936,2.64968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,250,0.25,13.2484,6.6242
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,500,0.5,26.4968,13.2484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,0.5,0.5,1000,1,52.9936,26.4968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,25,0.025,2.64968,1.32484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,50,0.05,5.29936,2.64968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,100,0.1,10.59872,5.29936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,250,0.25,26.4968,13.2484
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,500,0.5,52.9936,26.4968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,1,1,1000,1,105.9872,52.9936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,25,0.025,5.29936,2.64968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,50,0.05,10.59872,5.29936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,100,0.1,21.19744,10.59872
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,250,0.25,52.9936,26.4968
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,500,0.5,105.9872,52.9936
3,Sodium Carbonate,Na2CO3 (anhydrous),Na2; C1; O3,105.9872,2,52.9936,2,2,1000,1,211.9744,105.9872
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,25,0.025,0.35510125,0.177550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,50,0.05,0.7102025,0.35510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,100,0.1,1.420405,0.7102025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,250,0.25,3.5510125,1.77550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,500,0.5,7.102025,3.5510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.1,0.1,1000,1,14.20405,7.102025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,25,0.025,0.887753125,0.4438765625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,50,0.05,1.77550625,0.887753125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,100,0.1,3.5510125,1.77550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,250,0.25,8.87753125,4.438765625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,500,0.5,17.7550625,8.87753125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.25,0.25,1000,1,35.510125,17.7550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,25,0.025,1.77550625,0.887753125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,50,0.05,3.5510125,1.77550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,100,0.1,7.102025,3.5510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,250,0.25,17.7550625,8.87753125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,500,0.5,35.510125,17.7550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,0.5,0.5,1000,1,71.02025,35.510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,25,0.025,3.5510125,1.77550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,50,0.05,7.102025,3.5510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,100,0.1,14.20405,7.102025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,250,0.25,35.510125,17.7550625
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,500,0.5,71.02025,35.510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,1,1,1000,1,142.0405,71.02025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,25,0.025,7.102025,3.5510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,50,0.05,14.20405,7.102025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,100,0.1,28.4081,14.20405
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,250,0.25,71.02025,35.510125
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,500,0.5,142.0405,71.02025
4,Sodium Sulphate,Na2SO4,Na2; S1; O4,142.0405,2,71.02025,2,2,1000,1,284.081,142.0405
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,25,0.025,0.18637825,0.18637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,50,0.05,0.3727565,0.3727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,100,0.1,0.745513,0.745513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,250,0.25,1.8637825,1.8637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,500,0.5,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.1,0.1,1000,1,7.45513,7.45513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,25,0.025,0.465945625,0.465945625
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,50,0.05,0.93189125,0.93189125
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,100,0.1,1.8637825,1.8637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,250,0.25,4.65945625,4.65945625
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,500,0.5,9.3189125,9.3189125
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.25,0.25,1000,1,18.637825,18.637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,25,0.025,0.93189125,0.93189125
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,50,0.05,1.8637825,1.8637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,100,0.1,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,250,0.25,9.3189125,9.3189125
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,500,0.5,18.637825,18.637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,0.5,0.5,1000,1,37.27565,37.27565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,25,0.025,1.8637825,1.8637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,50,0.05,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,100,0.1,7.45513,7.45513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,250,0.25,18.637825,18.637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,500,0.5,37.27565,37.27565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,1000,1,74.5513,74.5513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,25,0.025,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,50,0.05,7.45513,7.45513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,100,0.1,14.91026,14.91026
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,250,0.25,37.27565,37.27565
